nohup: ignoring input
Namespace(batch_size=8, class_num=2, cuda_num=1, encoder_type='resnet34', evaluate_step=100, gradient_accumulation_steps=4, lr=0.0001, model_type='FPN', num_epoch=50, path_img='/mnt/sda1/songzimeng/cv_project/img/', path_label='/mnt/sda1/songzimeng/cv_project/label/', save_dir='/mnt/sda1/songzimeng/cv_project/models/', save_interval=5, step_interval=10, step_save=1000, total_updates=50000, val_set=0, weight_decay=0.001)
/mnt/sda1/songzimeng/cv_project/models/val_0_FPNresnet34_2021-06-07-20-17-51 make!
cuda
device:  1
train: ['ds1', 'ds2', 'ds3', 'ds4', 'ds5', 'ds6', 'ds7', 'ds8', 'ds9', 'ds10']
valid: ['ds11', 'ds12', 'ds13']
get_images_and_labels 5418 5418
get_images_and_labels 293 293
epoch:  1
[epoch:1, iter:10] Loss: 0.970 | MIoU: 41.056% 
[epoch:1, iter:330] Loss: 0.222 | MIoU: 78.718% 
[epoch:1, iter:340] Loss: 0.220 | MIoU: 78.859% 
[epoch:1, iter:350] Loss: 0.217 | MIoU: 79.052% 
[epoch:1, iter:360] Loss: 0.216 | MIoU: 79.152% 
[epoch:1, iter:370] Loss: 0.213 | MIoU: 79.328% 
[epoch:1, iter:380] Loss: 0.212 | MIoU: 79.393% 
[epoch:1, iter:390] Loss: 0.209 | MIoU: 79.585% 
[epoch:1, iter:400] Loss: 0.207 | MIoU: 79.748% 
[epoch:1, iter:410] Loss: 0.206 | MIoU: 79.801% 
[epoch:1, iter:420] Loss: 0.204 | MIoU: 79.933% 
[epoch:1, iter:430] Loss: 0.203 | MIoU: 80.052% 
[epoch:1, iter:440] Loss: 0.203 | MIoU: 80.088% 
[epoch:1, iter:450] Loss: 0.200 | MIoU: 80.250% 
[epoch:1, iter:460] Loss: 0.199 | MIoU: 80.296% 
[epoch:1, iter:470] Loss: 0.197 | MIoU: 80.432% 
[epoch:1, iter:480] Loss: 0.196 | MIoU: 80.534% 
[epoch:1, iter:490] Loss: 0.195 | MIoU: 80.685% 
[epoch:1, iter:500] Loss: 0.193 | MIoU: 80.874% 
[epoch:1, iter:510] Loss: 0.191 | MIoU: 80.970% 
[epoch:1, iter:520] Loss: 0.190 | MIoU: 81.033% 
[epoch:1, iter:530] Loss: 0.189 | MIoU: 81.136% 
[epoch:1, iter:540] Loss: 0.188 | MIoU: 81.214% 
[epoch:1, iter:550] Loss: 0.187 | MIoU: 81.317% 
[epoch:1, iter:560] Loss: 0.186 | MIoU: 81.394% 
[epoch:1, iter:570] Loss: 0.184 | MIoU: 81.471% 
[epoch:1, iter:580] Loss: 0.183 | MIoU: 81.542% 
[epoch:1, iter:590] Loss: 0.182 | MIoU: 81.659% 
[epoch:1, iter:600] Loss: 0.181 | MIoU: 81.738% 
[epoch:1, iter:610] Loss: 0.180 | MIoU: 81.828% 
[epoch:1, iter:620] Loss: 0.178 | MIoU: 81.925% 
[epoch:1, iter:630] Loss: 0.177 | MIoU: 82.033% 
[epoch:1, iter:640] Loss: 0.176 | MIoU: 82.126% 
[epoch:1, iter:650] Loss: 0.176 | MIoU: 82.119% 
[epoch:1, iter:660] Loss: 0.174 | MIoU: 82.229% 
[epoch:1, iter:670] Loss: 0.174 | MIoU: 82.303% 
Evaluate
[epoch:1, evaluate] Loss: 0.111 | MIoU: 86.899% 
Epoch 1 achieves best!
epoch:  2
[epoch:2, iter:10] Loss: 0.117 | MIoU: 85.977% 
[epoch:2, iter:20] Loss: 0.118 | MIoU: 86.237% 
[epoch:2, iter:30] Loss: 0.112 | MIoU: 86.805% 
[epoch:2, iter:40] Loss: 0.111 | MIoU: 87.193% 
[epoch:2, iter:50] Loss: 0.112 | MIoU: 86.854% 
[epoch:2, iter:60] Loss: 0.111 | MIoU: 87.134% 
[epoch:2, iter:70] Loss: 0.108 | MIoU: 87.299% 
[epoch:2, iter:80] Loss: 0.106 | MIoU: 87.558% 
[epoch:2, iter:90] Loss: 0.107 | MIoU: 87.688% 
[epoch:2, iter:100] Loss: 0.109 | MIoU: 87.601% 
[epoch:2, iter:110] Loss: 0.110 | MIoU: 87.447% 
[epoch:2, iter:120] Loss: 0.108 | MIoU: 87.548% 
[epoch:2, iter:130] Loss: 0.107 | MIoU: 87.564% 
[epoch:2, iter:140] Loss: 0.104 | MIoU: 87.829% 
[epoch:2, iter:150] Loss: 0.102 | MIoU: 87.992% 
[epoch:2, iter:160] Loss: 0.103 | MIoU: 87.995% 
[epoch:2, iter:170] Loss: 0.102 | MIoU: 88.063% 
[epoch:2, iter:180] Loss: 0.102 | MIoU: 88.084% 
[epoch:2, iter:190] Loss: 0.103 | MIoU: 88.065% 
[epoch:2, iter:200] Loss: 0.101 | MIoU: 88.180% 
[epoch:2, iter:210] Loss: 0.100 | MIoU: 88.210% 
[epoch:2, iter:220] Loss: 0.100 | MIoU: 88.299% 
[epoch:2, iter:230] Loss: 0.099 | MIoU: 88.372% 
[epoch:2, iter:240] Loss: 0.098 | MIoU: 88.475% 
[epoch:2, iter:250] Loss: 0.100 | MIoU: 88.465% 
[epoch:2, iter:260] Loss: 0.099 | MIoU: 88.553% 
[epoch:2, iter:270] Loss: 0.099 | MIoU: 88.531% 
[epoch:2, iter:280] Loss: 0.099 | MIoU: 88.552% 
[epoch:2, iter:290] Loss: 0.099 | MIoU: 88.546% 
[epoch:2, iter:300] Loss: 0.099 | MIoU: 88.559% 
[epoch:2, iter:310] Loss: 0.098 | MIoU: 88.605% 
[epoch:2, iter:320] Loss: 0.098 | MIoU: 88.587% 
[epoch:2, iter:330] Loss: 0.098 | MIoU: 88.615% 
[epoch:2, iter:340] Loss: 0.098 | MIoU: 88.659% 
[epoch:2, iter:350] Loss: 0.097 | MIoU: 88.741% 
[epoch:2, iter:360] Loss: 0.096 | MIoU: 88.796% 
[epoch:2, iter:370] Loss: 0.097 | MIoU: 88.820% 
[epoch:2, iter:380] Loss: 0.096 | MIoU: 88.845% 
[epoch:2, iter:390] Loss: 0.097 | MIoU: 88.807% 
[epoch:2, iter:400] Loss: 0.097 | MIoU: 88.894% 
[epoch:2, iter:410] Loss: 0.096 | MIoU: 88.901% 
[epoch:2, iter:420] Loss: 0.096 | MIoU: 88.927% 
[epoch:2, iter:430] Loss: 0.096 | MIoU: 88.901% 
[epoch:2, iter:440] Loss: 0.096 | MIoU: 88.906% 
[epoch:2, iter:450] Loss: 0.095 | MIoU: 88.980% 
[epoch:2, iter:460] Loss: 0.095 | MIoU: 88.972% 
[epoch:2, iter:470] Loss: 0.095 | MIoU: 88.974% 
[epoch:2, iter:480] Loss: 0.095 | MIoU: 89.017% 
[epoch:2, iter:490] Loss: 0.094 | MIoU: 89.050% 
[epoch:2, iter:500] Loss: 0.094 | MIoU: 89.051% 
[epoch:2, iter:510] Loss: 0.094 | MIoU: 89.088% 
[epoch:2, iter:520] Loss: 0.094 | MIoU: 89.103% 
[epoch:2, iter:530] Loss: 0.094 | MIoU: 89.137% 
[epoch:2, iter:540] Loss: 0.093 | MIoU: 89.170% 
[epoch:2, iter:550] Loss: 0.093 | MIoU: 89.218% 
[epoch:2, iter:560] Loss: 0.093 | MIoU: 89.240% 
[epoch:2, iter:570] Loss: 0.092 | MIoU: 89.254% 
[epoch:2, iter:580] Loss: 0.092 | MIoU: 89.312% 
[epoch:2, iter:590] Loss: 0.091 | MIoU: 89.378% 
[epoch:2, iter:600] Loss: 0.091 | MIoU: 89.383% 
[epoch:2, iter:610] Loss: 0.091 | MIoU: 89.405% 
[epoch:2, iter:620] Loss: 0.091 | MIoU: 89.450% 
[epoch:2, iter:630] Loss: 0.090 | MIoU: 89.490% 
[epoch:2, iter:640] Loss: 0.090 | MIoU: 89.525% 
[epoch:2, iter:650] Loss: 0.090 | MIoU: 89.533% 
[epoch:2, iter:660] Loss: 0.090 | MIoU: 89.552% 
[epoch:2, iter:670] Loss: 0.090 | MIoU: 89.577% 
Evaluate
[epoch:2, evaluate] Loss: 0.108 | MIoU: 88.024% 
Epoch 2 achieves best!
epoch:  3
[epoch:3, iter:10] Loss: 0.082 | MIoU: 88.652% 
[epoch:3, iter:20] Loss: 0.080 | MIoU: 88.961% 
[epoch:3, iter:30] Loss: 0.083 | MIoU: 89.354% 
[epoch:3, iter:40] Loss: 0.080 | MIoU: 89.687% 
[epoch:3, iter:50] Loss: 0.077 | MIoU: 90.057% 
[epoch:3, iter:60] Loss: 0.081 | MIoU: 89.646% 
[epoch:3, iter:70] Loss: 0.079 | MIoU: 89.848% 
[epoch:3, iter:80] Loss: 0.081 | MIoU: 89.796% 
[epoch:3, iter:90] Loss: 0.083 | MIoU: 89.751% 
[epoch:3, iter:100] Loss: 0.082 | MIoU: 89.926% 
[epoch:3, iter:110] Loss: 0.080 | MIoU: 90.201% 
[epoch:3, iter:120] Loss: 0.081 | MIoU: 90.255% 
[epoch:3, iter:130] Loss: 0.080 | MIoU: 90.357% 
[epoch:3, iter:140] Loss: 0.081 | MIoU: 90.423% 
[epoch:3, iter:150] Loss: 0.080 | MIoU: 90.491% 
[epoch:3, iter:160] Loss: 0.078 | MIoU: 90.693% 
[epoch:3, iter:170] Loss: 0.080 | MIoU: 90.543% 
[epoch:3, iter:180] Loss: 0.079 | MIoU: 90.671% 
[epoch:3, iter:190] Loss: 0.078 | MIoU: 90.740% 
[epoch:3, iter:200] Loss: 0.078 | MIoU: 90.756% 
[epoch:3, iter:210] Loss: 0.077 | MIoU: 90.794% 
[epoch:3, iter:220] Loss: 0.077 | MIoU: 90.849% 
[epoch:3, iter:230] Loss: 0.078 | MIoU: 90.755% 
[epoch:3, iter:240] Loss: 0.078 | MIoU: 90.797% 
[epoch:3, iter:250] Loss: 0.078 | MIoU: 90.839% 
[epoch:3, iter:260] Loss: 0.078 | MIoU: 90.836% 
[epoch:3, iter:270] Loss: 0.078 | MIoU: 90.903% 
[epoch:3, iter:280] Loss: 0.077 | MIoU: 90.932% 
[epoch:3, iter:290] Loss: 0.076 | MIoU: 91.009% 
[epoch:3, iter:300] Loss: 0.076 | MIoU: 91.009% 
[epoch:3, iter:310] Loss: 0.076 | MIoU: 91.050% 
[epoch:3, iter:320] Loss: 0.077 | MIoU: 91.035% 
[epoch:3, iter:330] Loss: 0.077 | MIoU: 91.063% 
[epoch:3, iter:340] Loss: 0.076 | MIoU: 91.057% 
[epoch:3, iter:350] Loss: 0.076 | MIoU: 91.074% 
[epoch:3, iter:360] Loss: 0.076 | MIoU: 91.104% 
[epoch:3, iter:370] Loss: 0.077 | MIoU: 91.042% 
[epoch:3, iter:380] Loss: 0.077 | MIoU: 91.061% 
[epoch:3, iter:390] Loss: 0.077 | MIoU: 91.060% 
[epoch:3, iter:400] Loss: 0.077 | MIoU: 91.044% 
[epoch:3, iter:410] Loss: 0.077 | MIoU: 91.053% 
[epoch:3, iter:420] Loss: 0.077 | MIoU: 91.081% 
[epoch:3, iter:430] Loss: 0.076 | MIoU: 91.103% 
[epoch:3, iter:440] Loss: 0.076 | MIoU: 91.104% 
[epoch:3, iter:450] Loss: 0.076 | MIoU: 91.119% 
[epoch:3, iter:460] Loss: 0.076 | MIoU: 91.104% 
[epoch:3, iter:470] Loss: 0.076 | MIoU: 91.121% 
[epoch:3, iter:480] Loss: 0.075 | MIoU: 91.164% 
[epoch:3, iter:490] Loss: 0.075 | MIoU: 91.206% 
[epoch:3, iter:500] Loss: 0.075 | MIoU: 91.201% 
[epoch:3, iter:510] Loss: 0.075 | MIoU: 91.222% 
[epoch:3, iter:520] Loss: 0.074 | MIoU: 91.245% 
[epoch:3, iter:530] Loss: 0.074 | MIoU: 91.285% 
[epoch:3, iter:540] Loss: 0.074 | MIoU: 91.319% 
[epoch:3, iter:550] Loss: 0.074 | MIoU: 91.354% 
[epoch:3, iter:560] Loss: 0.073 | MIoU: 91.367% 
[epoch:3, iter:570] Loss: 0.073 | MIoU: 91.398% 
[epoch:3, iter:580] Loss: 0.073 | MIoU: 91.422% 
[epoch:3, iter:590] Loss: 0.073 | MIoU: 91.446% 
[epoch:3, iter:600] Loss: 0.073 | MIoU: 91.494% 
[epoch:3, iter:610] Loss: 0.072 | MIoU: 91.502% 
[epoch:3, iter:620] Loss: 0.072 | MIoU: 91.526% 
[epoch:3, iter:630] Loss: 0.073 | MIoU: 91.475% 
[epoch:3, iter:640] Loss: 0.072 | MIoU: 91.515% 
[epoch:3, iter:650] Loss: 0.073 | MIoU: 91.503% 
[epoch:3, iter:660] Loss: 0.073 | MIoU: 91.484% 
[epoch:3, iter:670] Loss: 0.073 | MIoU: 91.499% 
Evaluate
[epoch:3, evaluate] Loss: 0.098 | MIoU: 88.503% 
Epoch 3 achieves best!
epoch:  4
[epoch:4, iter:10] Loss: 0.058 | MIoU: 92.759% 
[epoch:4, iter:20] Loss: 0.065 | MIoU: 92.231% 
[epoch:4, iter:30] Loss: 0.063 | MIoU: 92.483% 
[epoch:4, iter:40] Loss: 0.060 | MIoU: 92.932% 
[epoch:4, iter:50] Loss: 0.061 | MIoU: 92.765% 
[epoch:4, iter:60] Loss: 0.063 | MIoU: 92.540% 
[epoch:4, iter:70] Loss: 0.062 | MIoU: 92.558% 
[epoch:4, iter:80] Loss: 0.060 | MIoU: 92.740% 
[epoch:4, iter:90] Loss: 0.059 | MIoU: 92.823% 
[epoch:4, iter:100] Loss: 0.060 | MIoU: 92.720% 
[epoch:4, iter:110] Loss: 0.060 | MIoU: 92.641% 
[epoch:4, iter:120] Loss: 0.060 | MIoU: 92.627% 
[epoch:4, iter:130] Loss: 0.060 | MIoU: 92.619% 
[epoch:4, iter:140] Loss: 0.060 | MIoU: 92.675% 
[epoch:4, iter:150] Loss: 0.059 | MIoU: 92.719% 
[epoch:4, iter:160] Loss: 0.059 | MIoU: 92.746% 
[epoch:4, iter:170] Loss: 0.058 | MIoU: 92.778% 
[epoch:4, iter:180] Loss: 0.058 | MIoU: 92.871% 
[epoch:4, iter:190] Loss: 0.057 | MIoU: 92.928% 
[epoch:4, iter:200] Loss: 0.057 | MIoU: 92.980% 
[epoch:4, iter:210] Loss: 0.057 | MIoU: 92.980% 
[epoch:4, iter:220] Loss: 0.057 | MIoU: 92.967% 
[epoch:4, iter:230] Loss: 0.057 | MIoU: 92.919% 
[epoch:4, iter:240] Loss: 0.056 | MIoU: 92.954% 
[epoch:4, iter:250] Loss: 0.056 | MIoU: 92.981% 
[epoch:4, iter:260] Loss: 0.056 | MIoU: 93.007% 
[epoch:4, iter:270] Loss: 0.056 | MIoU: 93.054% 
[epoch:4, iter:280] Loss: 0.055 | MIoU: 93.125% 
[epoch:4, iter:290] Loss: 0.057 | MIoU: 93.036% 
[epoch:4, iter:300] Loss: 0.057 | MIoU: 93.064% 
[epoch:4, iter:310] Loss: 0.057 | MIoU: 93.039% 
[epoch:4, iter:320] Loss: 0.057 | MIoU: 93.055% 
[epoch:4, iter:330] Loss: 0.058 | MIoU: 93.029% 
[epoch:4, iter:340] Loss: 0.058 | MIoU: 93.003% 
[epoch:4, iter:350] Loss: 0.058 | MIoU: 92.980% 
[epoch:4, iter:360] Loss: 0.058 | MIoU: 92.925% 
[epoch:4, iter:370] Loss: 0.059 | MIoU: 92.865% 
[epoch:4, iter:380] Loss: 0.059 | MIoU: 92.890% 
[epoch:4, iter:390] Loss: 0.059 | MIoU: 92.856% 
[epoch:4, iter:400] Loss: 0.059 | MIoU: 92.873% 
[epoch:4, iter:410] Loss: 0.058 | MIoU: 92.873% 
[epoch:4, iter:420] Loss: 0.059 | MIoU: 92.850% 
[epoch:4, iter:430] Loss: 0.059 | MIoU: 92.814% 
[epoch:4, iter:440] Loss: 0.060 | MIoU: 92.772% 
[epoch:4, iter:450] Loss: 0.060 | MIoU: 92.791% 
[epoch:4, iter:460] Loss: 0.060 | MIoU: 92.793% 
[epoch:4, iter:470] Loss: 0.060 | MIoU: 92.726% 
[epoch:4, iter:480] Loss: 0.060 | MIoU: 92.705% 
[epoch:4, iter:490] Loss: 0.060 | MIoU: 92.694% 
[epoch:4, iter:500] Loss: 0.060 | MIoU: 92.715% 
[epoch:4, iter:510] Loss: 0.060 | MIoU: 92.700% 
[epoch:4, iter:520] Loss: 0.060 | MIoU: 92.696% 
[epoch:4, iter:530] Loss: 0.060 | MIoU: 92.702% 
[epoch:4, iter:540] Loss: 0.060 | MIoU: 92.725% 
[epoch:4, iter:550] Loss: 0.060 | MIoU: 92.742% 
[epoch:4, iter:560] Loss: 0.060 | MIoU: 92.711% 
[epoch:4, iter:570] Loss: 0.060 | MIoU: 92.713% 
[epoch:4, iter:580] Loss: 0.061 | MIoU: 92.694% 
[epoch:4, iter:590] Loss: 0.060 | MIoU: 92.706% 
[epoch:4, iter:600] Loss: 0.061 | MIoU: 92.697% 
[epoch:4, iter:610] Loss: 0.061 | MIoU: 92.692% 
[epoch:4, iter:620] Loss: 0.061 | MIoU: 92.673% 
[epoch:4, iter:630] Loss: 0.061 | MIoU: 92.688% 
[epoch:4, iter:640] Loss: 0.061 | MIoU: 92.686% 
[epoch:4, iter:650] Loss: 0.061 | MIoU: 92.706% 
[epoch:4, iter:660] Loss: 0.061 | MIoU: 92.715% 
[epoch:4, iter:670] Loss: 0.060 | MIoU: 92.722% 
Evaluate
[epoch:4, evaluate] Loss: 0.090 | MIoU: 89.892% 
Epoch 4 achieves best!
epoch:  5
[epoch:5, iter:10] Loss: 0.044 | MIoU: 94.300% 
[epoch:5, iter:20] Loss: 0.044 | MIoU: 94.454% 
[epoch:5, iter:30] Loss: 0.048 | MIoU: 93.906% 
[epoch:5, iter:40] Loss: 0.049 | MIoU: 93.883% 
[epoch:5, iter:50] Loss: 0.050 | MIoU: 93.992% 
[epoch:5, iter:60] Loss: 0.051 | MIoU: 93.926% 
[epoch:5, iter:70] Loss: 0.051 | MIoU: 93.960% 
[epoch:5, iter:80] Loss: 0.050 | MIoU: 93.986% 
[epoch:5, iter:90] Loss: 0.049 | MIoU: 94.075% 
[epoch:5, iter:100] Loss: 0.048 | MIoU: 94.093% 
[epoch:5, iter:110] Loss: 0.049 | MIoU: 94.082% 
[epoch:5, iter:120] Loss: 0.050 | MIoU: 93.933% 
[epoch:5, iter:130] Loss: 0.050 | MIoU: 93.972% 
[epoch:5, iter:140] Loss: 0.050 | MIoU: 93.959% 
[epoch:5, iter:150] Loss: 0.050 | MIoU: 93.906% 
[epoch:5, iter:160] Loss: 0.050 | MIoU: 93.871% 
[epoch:5, iter:170] Loss: 0.050 | MIoU: 93.920% 
[epoch:5, iter:180] Loss: 0.050 | MIoU: 93.874% 
[epoch:5, iter:190] Loss: 0.051 | MIoU: 93.884% 
[epoch:5, iter:200] Loss: 0.050 | MIoU: 93.924% 
[epoch:5, iter:210] Loss: 0.050 | MIoU: 93.975% 
[epoch:5, iter:220] Loss: 0.049 | MIoU: 94.039% 
[epoch:5, iter:230] Loss: 0.049 | MIoU: 94.042% 
[epoch:5, iter:240] Loss: 0.048 | MIoU: 94.120% 
[epoch:5, iter:250] Loss: 0.048 | MIoU: 94.127% 
[epoch:5, iter:260] Loss: 0.049 | MIoU: 94.119% 
[epoch:5, iter:270] Loss: 0.049 | MIoU: 94.117% 
[epoch:5, iter:280] Loss: 0.049 | MIoU: 94.107% 
[epoch:5, iter:290] Loss: 0.049 | MIoU: 94.074% 
[epoch:5, iter:300] Loss: 0.049 | MIoU: 94.059% 
[epoch:5, iter:310] Loss: 0.049 | MIoU: 94.035% 
[epoch:5, iter:320] Loss: 0.049 | MIoU: 94.071% 
[epoch:5, iter:330] Loss: 0.049 | MIoU: 94.096% 
[epoch:5, iter:340] Loss: 0.049 | MIoU: 94.051% 
[epoch:5, iter:350] Loss: 0.049 | MIoU: 94.011% 
[epoch:5, iter:360] Loss: 0.050 | MIoU: 93.900% 
[epoch:5, iter:370] Loss: 0.050 | MIoU: 93.915% 
[epoch:5, iter:380] Loss: 0.050 | MIoU: 93.941% 
[epoch:5, iter:390] Loss: 0.050 | MIoU: 93.954% 
[epoch:5, iter:400] Loss: 0.050 | MIoU: 93.973% 
[epoch:5, iter:410] Loss: 0.049 | MIoU: 93.973% 
[epoch:5, iter:420] Loss: 0.050 | MIoU: 93.925% 
[epoch:5, iter:430] Loss: 0.050 | MIoU: 93.921% 
[epoch:5, iter:440] Loss: 0.050 | MIoU: 93.878% 
[epoch:5, iter:450] Loss: 0.050 | MIoU: 93.860% 
[epoch:5, iter:460] Loss: 0.051 | MIoU: 93.857% 
[epoch:5, iter:470] Loss: 0.050 | MIoU: 93.890% 
[epoch:5, iter:480] Loss: 0.050 | MIoU: 93.902% 
[epoch:5, iter:490] Loss: 0.050 | MIoU: 93.891% 
[epoch:5, iter:500] Loss: 0.050 | MIoU: 93.886% 
[epoch:5, iter:510] Loss: 0.050 | MIoU: 93.899% 
[epoch:5, iter:520] Loss: 0.050 | MIoU: 93.895% 
[epoch:5, iter:530] Loss: 0.050 | MIoU: 93.899% 
[epoch:5, iter:540] Loss: 0.050 | MIoU: 93.859% 
[epoch:5, iter:550] Loss: 0.050 | MIoU: 93.880% 
[epoch:5, iter:560] Loss: 0.050 | MIoU: 93.869% 
[epoch:5, iter:570] Loss: 0.050 | MIoU: 93.883% 
[epoch:5, iter:580] Loss: 0.050 | MIoU: 93.875% 
[epoch:5, iter:590] Loss: 0.050 | MIoU: 93.872% 
[epoch:5, iter:600] Loss: 0.050 | MIoU: 93.873% 
[epoch:5, iter:610] Loss: 0.050 | MIoU: 93.877% 
[epoch:5, iter:620] Loss: 0.050 | MIoU: 93.884% 
[epoch:5, iter:630] Loss: 0.050 | MIoU: 93.872% 
[epoch:5, iter:640] Loss: 0.050 | MIoU: 93.875% 
[epoch:5, iter:650] Loss: 0.050 | MIoU: 93.863% 
[epoch:5, iter:660] Loss: 0.050 | MIoU: 93.888% 
[epoch:5, iter:670] Loss: 0.050 | MIoU: 93.872% 
Evaluate
[epoch:5, evaluate] Loss: 0.087 | MIoU: 90.149% 
Epoch 5 achieves best!
epoch:  6
[epoch:6, iter:10] Loss: 0.045 | MIoU: 94.985% 
[epoch:6, iter:20] Loss: 0.047 | MIoU: 94.421% 
[epoch:6, iter:30] Loss: 0.044 | MIoU: 94.786% 
[epoch:6, iter:40] Loss: 0.041 | MIoU: 95.003% 
[epoch:6, iter:50] Loss: 0.042 | MIoU: 94.878% 
[epoch:6, iter:60] Loss: 0.042 | MIoU: 94.892% 
[epoch:6, iter:70] Loss: 0.043 | MIoU: 94.773% 
[epoch:6, iter:80] Loss: 0.042 | MIoU: 94.822% 
[epoch:6, iter:90] Loss: 0.043 | MIoU: 94.709% 
[epoch:6, iter:100] Loss: 0.042 | MIoU: 94.779% 
[epoch:6, iter:110] Loss: 0.043 | MIoU: 94.655% 
[epoch:6, iter:120] Loss: 0.043 | MIoU: 94.736% 
[epoch:6, iter:130] Loss: 0.043 | MIoU: 94.752% 
[epoch:6, iter:140] Loss: 0.042 | MIoU: 94.744% 
[epoch:6, iter:150] Loss: 0.042 | MIoU: 94.775% 
[epoch:6, iter:160] Loss: 0.042 | MIoU: 94.811% 
[epoch:6, iter:170] Loss: 0.043 | MIoU: 94.691% 
[epoch:6, iter:180] Loss: 0.044 | MIoU: 94.534% 
[epoch:6, iter:190] Loss: 0.043 | MIoU: 94.588% 
[epoch:6, iter:200] Loss: 0.043 | MIoU: 94.602% 
[epoch:6, iter:210] Loss: 0.044 | MIoU: 94.483% 
[epoch:6, iter:220] Loss: 0.044 | MIoU: 94.530% 
[epoch:6, iter:230] Loss: 0.044 | MIoU: 94.532% 
[epoch:6, iter:240] Loss: 0.043 | MIoU: 94.563% 
[epoch:6, iter:250] Loss: 0.043 | MIoU: 94.612% 
[epoch:6, iter:260] Loss: 0.043 | MIoU: 94.628% 
[epoch:6, iter:270] Loss: 0.043 | MIoU: 94.657% 
[epoch:6, iter:280] Loss: 0.043 | MIoU: 94.692% 
[epoch:6, iter:290] Loss: 0.042 | MIoU: 94.722% 
[epoch:6, iter:300] Loss: 0.042 | MIoU: 94.751% 
[epoch:6, iter:310] Loss: 0.042 | MIoU: 94.791% 
[epoch:6, iter:320] Loss: 0.041 | MIoU: 94.807% 
[epoch:6, iter:330] Loss: 0.041 | MIoU: 94.823% 
[epoch:6, iter:340] Loss: 0.041 | MIoU: 94.836% 
[epoch:6, iter:350] Loss: 0.041 | MIoU: 94.844% 
[epoch:6, iter:360] Loss: 0.041 | MIoU: 94.842% 
[epoch:6, iter:370] Loss: 0.041 | MIoU: 94.844% 
[epoch:6, iter:380] Loss: 0.041 | MIoU: 94.859% 
[epoch:6, iter:390] Loss: 0.041 | MIoU: 94.892% 
[epoch:6, iter:400] Loss: 0.041 | MIoU: 94.895% 
[epoch:6, iter:410] Loss: 0.041 | MIoU: 94.898% 
[epoch:6, iter:420] Loss: 0.041 | MIoU: 94.909% 
[epoch:6, iter:430] Loss: 0.040 | MIoU: 94.921% 
